Year,2019 NIR,2015 Reference Case (BR2),2019 Reference Case (BR4),2019 Additional Measures Case (BR4),With LULUCF,2030 Target
2005,730,-,-,-,-,-
2006,721,-,-,-,-,-
2007,744,-,-,-,-,-
2008,723,-,-,-,-,-
2009,682,-,-,-,-,-
2010,693,-,-,-,-,-
2011,703,-,-,-,-,-
2012,711,-,-,-,-,-
2013,722,-,-,-,-,-
2014,723,727,-,-,-,-
2015,722,735,-,-,-,-
2016,708,747,-,-,-,-
2017,716,754,-,-,-,-
2018,-,760,723,723,-,-
2019,-,763,720,720,-,-
2020,-,766,705,693,-,-
2021,-,769,694,680,-,-
2022,-,773,684,665,-,-
2023,-,782,673,649,-,-
2024,-,788,670,641,-,-
2025,-,791,674,638,-,-
2026,-,797,676,635,-,-
2027,-,799,676,627,-,-
2028,-,805,676,621,-,-
2029,-,811,676,611,-,-
2030,-,815,673,603,588,511